municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Cubas de la Sagra                           ;2020/04/15 07:00:00;7;126,24;20;360,69;0506  
Algete                                      ;2020/04/15 07:00:00;45;202,66;85;382,8;0091  
Mejorada del Campo                          ;2020/04/15 07:00:00;52;212,19;156;636,58;0843  
Loeches                                     ;2020/04/15 07:00:00;15;216,42;49;706,97;0758  
Parla                                       ;2020/04/15 07:00:00;197;144,1;598;437,44;1065  
Fuentidueña de Tajo                         ;2020/04/15 07:00:00;;100,86;16;806,86;0604  
Ambite                                      ;2020/04/15 07:00:00;;601,2;6;1202,4;0112  
Torremocha de Jarama                        ;2020/04/15 07:00:00;;0;8;996,26;1533  
Anchuelo                                    ;2020/04/15 07:00:00;;261,78;7;916,23;0127  
Los Molinos                                 ;2020/04/15 07:00:00;15;374,34;37;923,38;0875  
Soto del Real                               ;2020/04/15 07:00:00;22;224,58;54;551,25;1441  
Valverde de Alcalá                          ;2020/04/15 07:00:00;;0;6;2255,64;1662  
Fuente el Saz de Jarama                     ;2020/04/15 07:00:00;14;163,93;21;245,9;0590  
Horcajo de la Sierra-Aoslos                 ;2020/04/15 07:00:00;;1470,59;;4411,76;0702  
Valdeolmos-Alalpardo                        ;2020/04/15 07:00:00;;110,7;9;332,1;1625  
Campo Real                                  ;2020/04/15 07:00:00;12;199,2;22;365,21;0339  
Valdeavero                                  ;2020/04/15 07:00:00;;0;7;664,77;1564  
Villamanrique de Tajo                       ;2020/04/15 07:00:00;;146,84;;440,53;1739  
Cobeña                                      ;2020/04/15 07:00:00;29;388,9;51;683,92;0416  
Fresnedillas de la Oliva                    ;2020/04/15 07:00:00;;73,53;;220,59;0565  
Valdilecha                                  ;2020/04/15 07:00:00;7;274,4;14;548,8;1659  
El Berrueco                                 ;2020/04/15 07:00:00;;778,82;7;1090,34;0210  
Pezuela de las Torres                       ;2020/04/15 07:00:00;;0;;384,62;1111  
Villar del Olmo                             ;2020/04/15 07:00:00;;298,51;;398,01;1795  
Guadarrama                                  ;2020/04/15 07:00:00;45;284,85;96;607,67;0685  
San Martín de Valdeiglesias                 ;2020/04/15 07:00:00;17;199,32;52;609,68;1338  
Torrelodones                                ;2020/04/15 07:00:00;41;158,09;111;428,01;1527  
Boadilla del Monte                          ;2020/04/15 07:00:00;70;132,48;217;410,7;0225  
Torrejón de Velasco                         ;2020/04/15 07:00:00;;50,62;14;354,34;1505  
Villanueva de Perales                       ;2020/04/15 07:00:00;;311,2;;518,67;1782  
Tielmes                                     ;2020/04/15 07:00:00;;133,16;29;1287,17;1467  
San Sebastián de los Reyes                  ;2020/04/15 07:00:00;189;206,01;378;412,03;1343  
Guadalix de la Sierra                       ;2020/04/15 07:00:00;10;167,64;28;469,4;0679  
Humanes de Madrid                           ;2020/04/15 07:00:00;27;131,02;88;427,02;0730  
Chinchón                                    ;2020/04/15 07:00:00;10;193,76;23;445,65;0528  
Cadalso de los Vidrios                      ;2020/04/15 07:00:00;;98,59;7;230,04;0318  
Hoyo de Manzanares                          ;2020/04/15 07:00:00;8;104,43;20;261,06;0724  
Torrejón de la Calzada                      ;2020/04/15 07:00:00;14;162,39;27;313,19;1492  
Estremera                                   ;2020/04/15 07:00:00;;411,86;6;494,23;0552  
Corpa                                       ;2020/04/15 07:00:00;;0;6;1438,85;0480  
Meco                                        ;2020/04/15 07:00:00;18;128,74;117;836,79;0838  
Madarcos                                    ;2020/04/15 07:00:00;;0;;0;0783  
Zarzalejo                                   ;2020/04/15 07:00:00;;124,46;;248,91;1837  
Arganda del Rey                             ;2020/04/15 07:00:00;106;182,94;278;479,77;0148  
Collado Mediano                             ;2020/04/15 07:00:00;10;152,14;17;258,63;0468  
Daganzo de Arriba                           ;2020/04/15 07:00:00;8;73,84;36;332,29;0534  
Manzanares El Real                          ;2020/04/15 07:00:00;11;126,9;29;334,56;0822  
Buitrago del Lozoya                         ;2020/04/15 07:00:00;;88,3;12;529,8;0278  
Valdelaguna                                 ;2020/04/15 07:00:00;;0;;121,36;1570  
Valdepiélagos                               ;2020/04/15 07:00:00;;0;;0;1631  
Casarrubuelos                               ;2020/04/15 07:00:00;;88,03;9;264,08;0360  
Miraflores de la Sierra                     ;2020/04/15 07:00:00;8;144,98;31;561,8;0856  
Paracuellos de Jarama                       ;2020/04/15 07:00:00;24;104,31;62;269,46;1049  
El Vellón                                   ;2020/04/15 07:00:00;;140,85;11;774,65;1684  
Lozoya                                      ;2020/04/15 07:00:00;;0;;236,97;0761  
Collado Villalba                            ;2020/04/15 07:00:00;127;183,33;301;434,5;0474  
Colmenarejo                                 ;2020/04/15 07:00:00;14;173,07;27;333,79;0442  
Villavieja del Lozoya                       ;2020/04/15 07:00:00;;0;;0;1821  
Prádena del Rincón                          ;2020/04/15 07:00:00;;0;;0;1179  
La Cabrera                                  ;2020/04/15 07:00:00;;131,97;10;329,92;0301  
Sevilla la Nueva                            ;2020/04/15 07:00:00;28;281,44;43;432,2;1415  
La Acebeda                                  ;2020/04/15 07:00:00;;0;;0;0014  
Redueña                                     ;2020/04/15 07:00:00;;0;;584,8;1219  
Robledillo de la Jara                       ;2020/04/15 07:00:00;;1851,85;;1851,85;1245  
La Serna del Monte                          ;2020/04/15 07:00:00;;0;;0;1381  
Colmenar de Oreja                           ;2020/04/15 07:00:00;6;83,37;21;291,79;0437  
Rozas de Puerto Real                        ;2020/04/15 07:00:00;;255,1;;255,1;1283  
Valdemanco                                  ;2020/04/15 07:00:00;;135,14;;135,14;1586  
Brunete                                     ;2020/04/15 07:00:00;12;106,27;56;495,93;0262  
Titulcia                                    ;2020/04/15 07:00:00;;100,6;;503,02;1473  
Villa del Prado                             ;2020/04/15 07:00:00;49;742,76;76;1152,04;1718  
Lozoyuela-Navas-Sieteiglesias               ;2020/04/15 07:00:00;;261,55;;261,55;9015  
Quijorna                                    ;2020/04/15 07:00:00;7;356,6;15;764,14;1198  
Valdemoro                                   ;2020/04/15 07:00:00;61;79,85;568;743,47;1610  
Tres Cantos                                 ;2020/04/15 07:00:00;121;251,82;266;553,59;9036  
Torrelaguna                                 ;2020/04/15 07:00:00;9;177,87;14;276,68;1512  
Rivas-Vaciamadrid                           ;2020/04/15 07:00:00;121;140,48;460;534,07;1230  
El Atazar                                   ;2020/04/15 07:00:00;;0;;0;0164  
Pedrezuela                                  ;2020/04/15 07:00:00;13;234,91;19;343,33;1087  
Santa María de la Alameda                   ;2020/04/15 07:00:00;;105,71;;105,71;1356  
Horcajuelo de la Sierra                     ;2020/04/15 07:00:00;;0;;0;0719  
Arroyomolinos                               ;2020/04/15 07:00:00;53;203,15;133;509,79;0151  
Moralzarzal                                 ;2020/04/15 07:00:00;24;184,3;54;414,68;0908  
Canencia                                    ;2020/04/15 07:00:00;;271;;271;0344  
Villarejo de Salvanés                       ;2020/04/15 07:00:00;8;104,97;33;433,01;1809  
Serranillos del Valle                       ;2020/04/15 07:00:00;9;236,9;26;684,39;1408  
Villaviciosa de Odón                        ;2020/04/15 07:00:00;32;115,36;151;544,34;1816  
Camarma de Esteruelas                       ;2020/04/15 07:00:00;;42,15;35;491,78;0323  
Robledo de Chavela                          ;2020/04/15 07:00:00;8;212,2;13;344,83;1258  
Patones                                     ;2020/04/15 07:00:00;;655,02;;873,36;1071  
Navalagamella                               ;2020/04/15 07:00:00;;44,44;;222,22;0954  
Rascafría                                   ;2020/04/15 07:00:00;;135,78;;339,44;1202  
El Boalo                                    ;2020/04/15 07:00:00;12;189,72;25;395,26;0231  
Majadahonda                                 ;2020/04/15 07:00:00;94;120,56;367;470,7;0800  
Batres                                      ;2020/04/15 07:00:00;;224,72;8;1797,75;0170  
Alcobendas                                  ;2020/04/15 07:00:00;214;176,55;523;431,47;0066  
Alcalá de Henares                           ;2020/04/15 07:00:00;339;162,17;2077;993,56;0053  
Colmenar Viejo                              ;2020/04/15 07:00:00;138;273,79;269;533,7;0455  
San Fernando de Henares                     ;2020/04/15 07:00:00;113;268,87;329;782,83;1300  
Villalbilla                                 ;2020/04/15 07:00:00;10;89,49;83;742,73;1723  
El Escorial                                 ;2020/04/15 07:00:00;18;108,28;51;306,8;0549  
Colmenar del Arroyo                         ;2020/04/15 07:00:00;;0;;194,43;0421  
Torrejón de Ardoz                           ;2020/04/15 07:00:00;150;108,47;843;609,59;1489  
Piñuécar-Gandullas                          ;2020/04/15 07:00:00;;0;;0;1147  
Brea de Tajo                                ;2020/04/15 07:00:00;;136,05;;408,16;0259  
El Molar                                    ;2020/04/15 07:00:00;14;145,92;26;271;0869  
Belmonte de Tajo                            ;2020/04/15 07:00:00;;0;;216,92;0199  
Torres de la Alameda                        ;2020/04/15 07:00:00;22;266,99;63;764,56;1548  
Somosierra                                  ;2020/04/15 07:00:00;;1612,9;;1612,9;1436  
Alpedrete                                   ;2020/04/15 07:00:00;20;138,57;76;526,57;0105  
Orusco de Tajuña                            ;2020/04/15 07:00:00;6;543,48;16;1449,28;1028  
La Hiruela                                  ;2020/04/15 07:00:00;;9090,91;;9090,91;0698  
Cervera de Buitrago                         ;2020/04/15 07:00:00;;1851,85;;2777,78;0395  
Getafe                                      ;2020/04/15 07:00:00;306;159,88;921;481,2;0650  
Ribatejada                                  ;2020/04/15 07:00:00;;227,79;;455,58;1224  
Villaconejos                                ;2020/04/15 07:00:00;;0;8;180,34;1701  
Valdetorres de Jarama                       ;2020/04/15 07:00:00;;50,29;12;301,73;1646  
Madrid-Retiro                               ;2020/04/14 07:00:00;343;308,53;1124;1011,03;079603
Madrid-Salamanca                            ;2020/04/14 07:00:00;332;211,01;1186;753,78;079604
Madrid-Centro                               ;2020/04/14 07:00:00;268;188,43;814;572,32;079601
Madrid-Arganzuela                           ;2020/04/14 07:00:00;345;193,38;1178;660,31;079602
Madrid-Chamartín                            ;2020/04/14 07:00:00;345;234,88;1154;785,65;079605
Madrid-Tetuán                               ;2020/04/14 07:00:00;596;364,58;1617;989,12;079606
Madrid-Chamberí                             ;2020/04/14 07:00:00;323;217,53;1040;700,42;079607
Madrid-Fuencarral-El Pardo                  ;2020/04/14 07:00:00;828;368,75;2199;979,34;079608
Madrid-Moncloa-Aravaca                      ;2020/04/14 07:00:00;289;227,77;877;691,18;079609
Madrid-Latina                               ;2020/04/14 07:00:00;586;234,8;1940;777,33;079610
Madrid-Carabanchel                          ;2020/04/14 07:00:00;523;212,24;1869;758,47;079611
Madrid-Usera                                ;2020/04/14 07:00:00;308;207,47;1094;736,94;079612
Madrid-Puente de Vallecas                   ;2020/04/14 07:00:00;765;299,14;2410;942,38;079613
Madrid-San Blas - Canillejas                ;2020/04/14 07:00:00;351;252,75;1104;794,96;079620
Madrid-Barajas                              ;2020/04/14 07:00:00;111;210,7;339;643,5;079621
Madrid-Moratalaz                            ;2020/04/14 07:00:00;354;363,54;1053;1081,38;079614
Madrid-Ciudad Lineal                        ;2020/04/14 07:00:00;554;209,33;1656;625,72;079615
Madrid-Hortaleza                            ;2020/04/14 07:00:00;431;204;1367;647,02;079616
Madrid-Villaverde                           ;2020/04/14 07:00:00;307;193,03;1093;687,24;079617
Madrid-Villa de Vallecas                    ;2020/04/14 07:00:00;238;223,2;1018;954,71;079618
Madrid-Vicálvaro                            ;2020/04/14 07:00:00;216;300,47;644;895,84;079619
Pozuelo de Alarcón                          ;2020/04/14 07:00:00;105;118,91;468;530,01;1150  
Alcorcón                                    ;2020/04/14 07:00:00;554;316,86;1280;732,09;0072  
Navalcarnero                                ;2020/04/14 07:00:00;29;102,73;118;418,01;0967  
San Agustín del Guadalix                    ;2020/04/14 07:00:00;26;178,53;42;288,4;1296  
Las Rozas de Madrid                         ;2020/04/14 07:00:00;212;221,18;507;528,96;1277  
Moraleja de Enmedio                         ;2020/04/14 07:00:00;;93,35;19;354,74;0894  
Valdaracete                                 ;2020/04/14 07:00:00;;494,23;;823,72;1551  
Pozuelo del Rey                             ;2020/04/14 07:00:00;;202,02;;404,04;1163  
Puebla de la Sierra                         ;2020/04/14 07:00:00;;0;;0;1185  
Perales de Tajuña                           ;2020/04/14 07:00:00;;53,72;7;188,02;1104  
Valdemorillo                                ;2020/04/14 07:00:00;13;107,25;27;222,75;1603  
Navalafuente                                ;2020/04/14 07:00:00;;251,89;;377,83;0941  
Velilla de San Antonio                      ;2020/04/14 07:00:00;20;160,09;53;424,24;1678  
Villanueva de la Cañada                     ;2020/04/14 07:00:00;24;98,43;76;311,68;1760  
Villanueva del Pardillo                     ;2020/04/14 07:00:00;14;82,89;62;367,1;1776  
Nuevo Baztán                                ;2020/04/14 07:00:00;6;90,27;24;361,07;1006  
Villamantilla                               ;2020/04/14 07:00:00;;0;7;829,38;1757  
Villamanta                                  ;2020/04/14 07:00:00;7;328,48;9;422,34;1744  
Cabanillas de la Sierra                     ;2020/04/14 07:00:00;;518,13;9;1554,4;0297  
Cenicientos                                 ;2020/04/14 07:00:00;;254,97;17;866,9;0376  
Puentes Viejas                              ;2020/04/14 07:00:00;;218,82;;437,64;9020  
Aranjuez                                    ;2020/04/14 07:00:00;122;192,33;363;572,28;0133  
Cercedilla                                  ;2020/04/14 07:00:00;35;467,48;75;1001,74;0382  
Santorcaz                                   ;2020/04/14 07:00:00;;0;7;1236,75;1369  
Coslada                                     ;2020/04/14 07:00:00;224;253,39;650;735,27;0493  
Morata de Tajuña                            ;2020/04/14 07:00:00;16;206;83;1068,62;0915  
Robregordo                                  ;2020/04/14 07:00:00;;0;;0;1261  
Navarredonda y San Mamés                    ;2020/04/14 07:00:00;;0;;1204,82;0973  
Venturada                                   ;2020/04/14 07:00:00;;0;;70,82;1697  
Navacerrada                                 ;2020/04/14 07:00:00;;107,6;11;394,55;0936  
Montejo de la Sierra                        ;2020/04/14 07:00:00;;279,33;;279,33;0881  
Fresno de Torote                            ;2020/04/14 07:00:00;;166,53;13;1082,43;0571  
Pinilla del Valle                           ;2020/04/14 07:00:00;;0;;0;1126  
Valdemaqueda                                ;2020/04/14 07:00:00;;233,92;;350,88;1599  
Navas del Rey                               ;2020/04/14 07:00:00;;101,9;42;1426,63;0992  
Olmeda de las Fuentes                       ;2020/04/14 07:00:00;;0;;1244,81;1013  
Bustarviejo                                 ;2020/04/14 07:00:00;;112,55;;281,37;0284  
Becerril de la Sierra                       ;2020/04/14 07:00:00;9;155,93;20;346,5;0186  
Fuenlabrada                                 ;2020/04/14 07:00:00;332;162,73;1220;598;0587  
Garganta de los Montes                      ;2020/04/14 07:00:00;;0;;364,96;0626  
Pinto                                       ;2020/04/14 07:00:00;39;73,37;174;327,36;1132  
Alameda del Valle                           ;2020/04/14 07:00:00;;0;;0;0035  
Berzosa del Lozoya                          ;2020/04/14 07:00:00;;1315,79;;1315,79;0203  
Los Santos de la Humosa                     ;2020/04/14 07:00:00;;238,24;18;1072,07;1375  
El Álamo                                    ;2020/04/14 07:00:00;9;91,16;34;344,37;0040  
Pelayos de la Presa                         ;2020/04/14 07:00:00;;112,57;15;562,85;1090  
Galapagar                                   ;2020/04/14 07:00:00;49;147,72;136;410,01;0611  
Griñón                                      ;2020/04/14 07:00:00;27;233,85;67;580,29;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/14 07:00:00;;0;;1027,4;0632  
Aldea del Fresno                            ;2020/04/14 07:00:00;6;198,94;31;1027,85;0088  
Carabaña                                    ;2020/04/14 07:00:00;;114,42;11;629,29;0357  
Talamanca de Jarama                         ;2020/04/14 07:00:00;12;383,14;21;670,5;1454  
Chapinería                                  ;2020/04/14 07:00:00;;131,12;6;262,24;0513  
Ciempozuelos                                ;2020/04/14 07:00:00;19;74,03;142;553,26;0409  
Ajalvir                                     ;2020/04/14 07:00:00;;84,28;9;189,63;0029  
San Lorenzo de El Escorial                  ;2020/04/14 07:00:00;25;141,12;67;378,21;1317  
Gascones                                    ;2020/04/14 07:00:00;;0;;0;0647  
San Martín de la Vega                       ;2020/04/14 07:00:00;16;78,57;63;309,35;1322  
Móstoles                                    ;2020/04/14 07:00:00;578;264,47;1507;689,55;0920  
Leganés                                     ;2020/04/14 07:00:00;1030;523,09;2450;1244,24;0745  
Braojos                                     ;2020/04/14 07:00:00;;0;;1242,24;0246  
Cubas de la Sagra                           ;2020/04/14 07:00:00;8;144,27;20;360,69;0506  
Algete                                      ;2020/04/14 07:00:00;45;202,66;84;378,29;0091  
Mejorada del Campo                          ;2020/04/14 07:00:00;60;244,84;152;620,26;0843  
Loeches                                     ;2020/04/14 07:00:00;18;259,7;48;692,54;0758  
Parla                                       ;2020/04/14 07:00:00;201;147,03;594;434,51;1065  
Fuentidueña de Tajo                         ;2020/04/14 07:00:00;;50,43;15;756,43;0604  
Ambite                                      ;2020/04/14 07:00:00;;601,2;6;1202,4;0112  
Torremocha de Jarama                        ;2020/04/14 07:00:00;;0;8;996,26;1533  
Anchuelo                                    ;2020/04/14 07:00:00;;261,78;7;916,23;0127  
Los Molinos                                 ;2020/04/14 07:00:00;16;399,3;37;923,38;0875  
Soto del Real                               ;2020/04/14 07:00:00;20;204,16;49;500,2;1441  
Valverde de Alcalá                          ;2020/04/14 07:00:00;;0;6;2255,64;1662  
Fuente el Saz de Jarama                     ;2020/04/14 07:00:00;13;152,22;20;234,19;0590  
Horcajo de la Sierra-Aoslos                 ;2020/04/14 07:00:00;;1470,59;;4411,76;0702  
Valdeolmos-Alalpardo                        ;2020/04/14 07:00:00;;73,8;8;295,2;1625  
Campo Real                                  ;2020/04/14 07:00:00;13;215,8;21;348,61;0339  
Valdeavero                                  ;2020/04/14 07:00:00;;94,97;7;664,77;1564  
Villamanrique de Tajo                       ;2020/04/14 07:00:00;;146,84;;440,53;1739  
Cobeña                                      ;2020/04/14 07:00:00;16;214,56;36;482,77;0416  
Fresnedillas de la Oliva                    ;2020/04/14 07:00:00;;73,53;;220,59;0565  
Valdilecha                                  ;2020/04/14 07:00:00;6;235,2;13;509,6;1659  
El Berrueco                                 ;2020/04/14 07:00:00;;778,82;7;1090,34;0210  
Pezuela de las Torres                       ;2020/04/14 07:00:00;;0;;384,62;1111  
Villar del Olmo                             ;2020/04/14 07:00:00;;298,51;;398,01;1795  
Guadarrama                                  ;2020/04/14 07:00:00;47;297,51;90;569,69;0685  
San Martín de Valdeiglesias                 ;2020/04/14 07:00:00;17;199,32;51;597,96;1338  
Torrelodones                                ;2020/04/14 07:00:00;40;154,24;106;408,73;1527  
Boadilla del Monte                          ;2020/04/14 07:00:00;69;130,59;208;393,66;0225  
Torrejón de Velasco                         ;2020/04/14 07:00:00;;75,93;14;354,34;1505  
Villanueva de Perales                       ;2020/04/14 07:00:00;;311,2;;518,67;1782  
Tielmes                                     ;2020/04/14 07:00:00;;133,16;29;1287,17;1467  
San Sebastián de los Reyes                  ;2020/04/14 07:00:00;182;198,38;362;394,59;1343  
Guadalix de la Sierra                       ;2020/04/14 07:00:00;12;201,17;28;469,4;0679  
Humanes de Madrid                           ;2020/04/14 07:00:00;27;131,02;86;417,31;0730  
Chinchón                                    ;2020/04/14 07:00:00;10;193,76;23;445,65;0528  
Cadalso de los Vidrios                      ;2020/04/14 07:00:00;;65,72;6;197,17;0318  
Hoyo de Manzanares                          ;2020/04/14 07:00:00;8;104,43;19;248,01;0724  
Torrejón de la Calzada                      ;2020/04/14 07:00:00;8;92,8;21;243,59;1492  
Estremera                                   ;2020/04/14 07:00:00;;411,86;6;494,23;0552  
Corpa                                       ;2020/04/14 07:00:00;;0;6;1438,85;0480  
Meco                                        ;2020/04/14 07:00:00;23;164,5;116;829,64;0838  
Madarcos                                    ;2020/04/14 07:00:00;;0;;0;0783  
Zarzalejo                                   ;2020/04/14 07:00:00;;124,46;;248,91;1837  
Arganda del Rey                             ;2020/04/14 07:00:00;114;196,74;275;474,6;0148  
Collado Mediano                             ;2020/04/14 07:00:00;10;152,14;15;228,21;0468  
Daganzo de Arriba                           ;2020/04/14 07:00:00;10;92,3;35;323,06;0534  
Manzanares El Real                          ;2020/04/14 07:00:00;10;115,37;28;323,03;0822  
Buitrago del Lozoya                         ;2020/04/14 07:00:00;;44,15;11;485,65;0278  
Valdelaguna                                 ;2020/04/14 07:00:00;;121,36;;121,36;1570  
Valdepiélagos                               ;2020/04/14 07:00:00;;0;;0;1631  
Casarrubuelos                               ;2020/04/14 07:00:00;;88,03;9;264,08;0360  
Miraflores de la Sierra                     ;2020/04/14 07:00:00;8;144,98;30;543,68;0856  
Paracuellos de Jarama                       ;2020/04/14 07:00:00;24;104,31;61;265,11;1049  
El Vellón                                   ;2020/04/14 07:00:00;;140,85;11;774,65;1684  
Lozoya                                      ;2020/04/14 07:00:00;;0;;236,97;0761  
Collado Villalba                            ;2020/04/14 07:00:00;108;155,9;274;395,53;0474  
Colmenarejo                                 ;2020/04/14 07:00:00;13;160,71;26;321,42;0442  
Villavieja del Lozoya                       ;2020/04/14 07:00:00;;0;;0;1821  
Prádena del Rincón                          ;2020/04/14 07:00:00;;0;;0;1179  
La Cabrera                                  ;2020/04/14 07:00:00;;164,96;10;329,92;0301  
Sevilla la Nueva                            ;2020/04/14 07:00:00;29;291,49;43;432,2;1415  
La Acebeda                                  ;2020/04/14 07:00:00;;0;;0;0014  
Redueña                                     ;2020/04/14 07:00:00;;0;;584,8;1219  
Robledillo de la Jara                       ;2020/04/14 07:00:00;;1851,85;;1851,85;1245  
La Serna del Monte                          ;2020/04/14 07:00:00;;0;;0;1381  
Colmenar de Oreja                           ;2020/04/14 07:00:00;7;97,26;21;291,79;0437  
Rozas de Puerto Real                        ;2020/04/14 07:00:00;;255,1;;255,1;1283  
Valdemanco                                  ;2020/04/14 07:00:00;;135,14;;135,14;1586  
Brunete                                     ;2020/04/14 07:00:00;10;88,56;51;451,65;0262  
Titulcia                                    ;2020/04/14 07:00:00;;100,6;;503,02;1473  
Villa del Prado                             ;2020/04/14 07:00:00;27;409,28;54;818,55;1718  
Lozoyuela-Navas-Sieteiglesias               ;2020/04/14 07:00:00;;261,55;;261,55;9015  
Quijorna                                    ;2020/04/14 07:00:00;7;356,6;14;713,19;1198  
Valdemoro                                   ;2020/04/14 07:00:00;79;103,41;564;738,24;1610  
Tres Cantos                                 ;2020/04/14 07:00:00;127;264,31;262;545,27;9036  
Torrelaguna                                 ;2020/04/14 07:00:00;9;177,87;14;276,68;1512  
Rivas-Vaciamadrid                           ;2020/04/14 07:00:00;138;160,22;450;522,46;1230  
El Atazar                                   ;2020/04/14 07:00:00;;0;;0;0164  
Pedrezuela                                  ;2020/04/14 07:00:00;9;162,63;15;271,05;1087  
Santa María de la Alameda                   ;2020/04/14 07:00:00;;105,71;;105,71;1356  
Horcajuelo de la Sierra                     ;2020/04/14 07:00:00;;0;;0;0719  
Arroyomolinos                               ;2020/04/14 07:00:00;53;203,15;130;498,29;0151  
Moralzarzal                                 ;2020/04/14 07:00:00;23;176,62;52;399,32;0908  
Canencia                                    ;2020/04/14 07:00:00;;271;;271;0344  
Villarejo de Salvanés                       ;2020/04/14 07:00:00;10;131,22;33;433,01;1809  
Serranillos del Valle                       ;2020/04/14 07:00:00;10;263,23;25;658,07;1408  
Villaviciosa de Odón                        ;2020/04/14 07:00:00;34;122,57;148;533,53;1816  
Camarma de Esteruelas                       ;2020/04/14 07:00:00;;70,25;35;491,78;0323  
Robledo de Chavela                          ;2020/04/14 07:00:00;7;185,68;12;318,3;1258  
Patones                                     ;2020/04/14 07:00:00;;655,02;;873,36;1071  
Navalagamella                               ;2020/04/14 07:00:00;;44,44;;222,22;0954  
Rascafría                                   ;2020/04/14 07:00:00;;203,67;;339,44;1202  
El Boalo                                    ;2020/04/14 07:00:00;13;205,53;24;379,45;0231  
Majadahonda                                 ;2020/04/14 07:00:00;95;121,84;351;450,18;0800  
Batres                                      ;2020/04/14 07:00:00;;224,72;8;1797,75;0170  
Alcobendas                                  ;2020/04/14 07:00:00;220;181,5;509;419,92;0066  
Alcalá de Henares                           ;2020/04/14 07:00:00;378;180,82;2049;980,17;0053  
Colmenar Viejo                              ;2020/04/14 07:00:00;145;287,68;264;523,78;0455  
San Fernando de Henares                     ;2020/04/14 07:00:00;111;264,12;308;732,86;1300  
Villalbilla                                 ;2020/04/14 07:00:00;10;89,49;81;724,83;1723  
El Escorial                                 ;2020/04/14 07:00:00;17;102,27;49;294,77;0549  
Colmenar del Arroyo                         ;2020/04/14 07:00:00;;0;;259,24;0421  
Torrejón de Ardoz                           ;2020/04/14 07:00:00;159;114,98;823;595,13;1489  
Piñuécar-Gandullas                          ;2020/04/14 07:00:00;;0;;0;1147  
Brea de Tajo                                ;2020/04/14 07:00:00;;136,05;;408,16;0259  
El Molar                                    ;2020/04/14 07:00:00;14;145,92;25;260,58;0869  
Belmonte de Tajo                            ;2020/04/14 07:00:00;;0;;144,61;0199  
Torres de la Alameda                        ;2020/04/14 07:00:00;19;230,58;60;728,16;1548  
Somosierra                                  ;2020/04/14 07:00:00;;1612,9;;1612,9;1436  
Alpedrete                                   ;2020/04/14 07:00:00;21;145,5;73;505,79;0105  
Orusco de Tajuña                            ;2020/04/14 07:00:00;8;724,64;16;1449,28;1028  
La Hiruela                                  ;2020/04/14 07:00:00;;9090,91;;9090,91;0698  
Cervera de Buitrago                         ;2020/04/14 07:00:00;;925,93;;1851,85;0395  
Getafe                                      ;2020/04/14 07:00:00;331;172,94;895;467,61;0650  
Ribatejada                                  ;2020/04/14 07:00:00;;227,79;;455,58;1224  
Villaconejos                                ;2020/04/14 07:00:00;;0;8;180,34;1701  
Valdetorres de Jarama                       ;2020/04/14 07:00:00;;75,43;12;301,73;1646  
Madrid-Retiro                               ;2020/04/13 07:00:00;363;326,52;1098;987,64;079603
Madrid-Salamanca                            ;2020/04/13 07:00:00;379;240,88;1143;726,45;079604
Madrid-Centro                               ;2020/04/13 07:00:00;302;212,33;792;556,85;079601
Madrid-Arganzuela                           ;2020/04/13 07:00:00;400;224,21;1146;642,37;079602
Madrid-Chamartín                            ;2020/04/13 07:00:00;427;290,7;1125;765,91;079605
Madrid-Tetuán                               ;2020/04/13 07:00:00;659;403,11;1574;962,82;079606
Madrid-Chamberí                             ;2020/04/13 07:00:00;378;254,58;1016;684,26;079607
Madrid-Fuencarral-El Pardo                  ;2020/04/13 07:00:00;937;417,3;2153;958,85;079608
Madrid-Moncloa-Aravaca                      ;2020/04/13 07:00:00;311;245,11;847;667,54;079609
Madrid-Latina                               ;2020/04/13 07:00:00;702;281,28;1902;762,11;079610
Madrid-Carabanchel                          ;2020/04/13 07:00:00;594;241,05;1832;743,45;079611
Madrid-Usera                                ;2020/04/13 07:00:00;328;220,95;1071;721,45;079612
Madrid-Puente de Vallecas                   ;2020/04/13 07:00:00;810;316,73;2358;922,05;079613
Madrid-San Blas - Canillejas                ;2020/04/13 07:00:00;362;260,67;1077;775,52;079620
Madrid-Barajas                              ;2020/04/13 07:00:00;115;218,3;333;632,11;079621
Madrid-Moratalaz                            ;2020/04/13 07:00:00;378;388,19;1035;1062,89;079614
Madrid-Ciudad Lineal                        ;2020/04/13 07:00:00;611;230,87;1612;609,09;079615
Madrid-Hortaleza                            ;2020/04/13 07:00:00;440;208,26;1329;629,04;079616
Madrid-Villaverde                           ;2020/04/13 07:00:00;316;198,69;1077;677,18;079617
Madrid-Villa de Vallecas                    ;2020/04/13 07:00:00;258;241,96;995;933,14;079618
Madrid-Vicálvaro                            ;2020/04/13 07:00:00;234;325,51;635;883,32;079619
Pozuelo de Alarcón                          ;2020/04/13 07:00:00;106;120,05;444;502,83;1150  
Alcorcón                                    ;2020/04/13 07:00:00;633;362,04;1245;712,08;0072  
Navalcarnero                                ;2020/04/13 07:00:00;35;123,99;117;414,47;0967  
San Agustín del Guadalix                    ;2020/04/13 07:00:00;26;178,53;42;288,4;1296  
