TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
24/04/2020,02,Alt Empordà ,17074,Fortià,1,Dona,Sospitós,1
24/04/2020,36,Tarragonès,43905,Salou,1,Dona,Sospitós,4
24/04/2020,27,Pla d'Urgell,25041,Barbens,1,Dona,Sospitós,1
24/04/2020,10,Baix Empordà ,17117,Palafrugell,0,Home,Sospitós,12
24/04/2020,24,Osona,08183,Roda de Ter,1,Dona,Positiu,1
24/04/2020,41,Vallès Oriental,08086,Les Franqueses del Vallès,1,Dona,Sospitós,1
24/04/2020,07,Bages,08213,Sant Fruitós de Bages,1,Dona,Sospitós,1
24/04/2020,11,Baix Llobregat,08056,Castelldefels,1,Dona,Sospitós,5
24/04/2020,20,Gironès,17215,Vilablareix,0,Home,Sospitós,1
24/04/2020,24,Osona,08237,Sant Quirze de Besora,0,Home,Sospitós,11
24/04/2020,08,Baix Camp,43129,Riudoms,0,Home,Positiu,1
24/04/2020,21,Maresme,08172,Premià de Mar,0,Home,Sospitós,1
24/04/2020,40,Vallès Occidental,08279,Terrassa,0,Home,Sospitós,19
24/04/2020,,,,(Altres municipis),1,Dona,Positiu,1
24/04/2020,10,Baix Empordà ,17048,Castell-Platja d'Aro,0,Home,Positiu,1
24/04/2020,24,Osona,08285,Torelló,0,Home,Positiu,1
24/04/2020,20,Gironès,17044,Cassà de la Selva,1,Dona,Sospitós,2
24/04/2020,34,Selva,17189,La Cellera de Ter,1,Dona,Positiu,1
24/04/2020,03,Alt Penedès,08122,Mediona,1,Dona,Sospitós,1
24/04/2020,20,Gironès,17090,Llambilles,1,Dona,Sospitós,1
24/04/2020,29,Priorat,43055,Falset,1,Dona,Sospitós,1
24/04/2020,17,Garraf,08074,Cubelles,0,Home,Sospitós,1
24/04/2020,17,Garraf,08270,Sitges,1,Dona,Positiu,1
24/04/2020,08,Baix Camp,43042,Castellvell del Camp,1,Dona,Sospitós,1
24/04/2020,21,Maresme,08035,Calella,1,Dona,Sospitós,2
24/04/2020,34,Selva,17083,Hostalric,1,Dona,Sospitós,3
24/04/2020,03,Alt Penedès,08240,Sant Sadurní d'Anoia,1,Dona,Sospitós,1
24/04/2020,17,Garraf,08231,Sant Pere de Ribes,1,Dona,Sospitós,1
24/04/2020,02,Alt Empordà ,17152,Roses,0,Home,Sospitós,1
24/04/2020,41,Vallès Oriental,08181,La Roca del Vallès,1,Dona,Sospitós,2
24/04/2020,14,Berguedà ,08022,Berga,1,Dona,Sospitós,3
24/04/2020,20,Gironès,17073,Fornells de la Selva,0,Home,Sospitós,2
24/04/2020,40,Vallès Occidental,08300,Viladecavalls,1,Dona,Sospitós,2
24/04/2020,31,Ripollès,17147,Ripoll,1,Dona,Sospitós,5
24/04/2020,03,Alt Penedès,08232,Sant Pere de Riudebitlles,1,Dona,Sospitós,1
24/04/2020,06,Anoia,08102,Igualada,1,Dona,Positiu,1
24/04/2020,41,Vallès Oriental,08115,Martorelles,1,Dona,Sospitós,1
24/04/2020,02,Alt Empordà ,17005,El Far d'Empordà,1,Dona,Sospitós,1
